station,name,longitude,latitude,location,rating
12 Windsor Road,Pizza Express Restaurants,-0.59673975,51.507274,"['80 High Street', 'Slough SL1 1EL', 'United Kingdom']",1.0
12 Windsor Road,Pro Tuga,-0.59673975,51.507274,"['High Street', 'Slough SL1 1LN', 'United Kingdom']",2.0
13 Arbour Park,The Chip Box,-0.58962592,51.519485,"['39 Stoke Road', 'Slough SL2 5AH', 'United Kingdom']",4.5
13 Arbour Park,Caribbean Experience,-0.58962592,51.519485,"['41 Stoke Road', 'Slough SL2 5AH', 'United Kingdom']",4.5
13 Arbour Park,Aromat Kuchni,-0.58962592,51.519485,"['19a Stoke Road', 'Slough Berkshire', 'Slough SL2 5AH', 'United Kingdom']",0.0
13 Arbour Park,Milkshake World,-0.58962592,51.519485,"['Tesco Extra Brunel Way', 'Wellington Street', 'Slough SL1 1XW', 'United Kingdom']",0.0
13 Arbour Park,J Bansal Fish & Chips Shop,-0.58962592,51.519485,"['16 Mirador Crescent', 'Slough SL2 5JX', 'United Kingdom']",0.0
13 Arbour Park,Roxy Chicken,-0.58962592,51.519485,"['Upton Lea Parade', 'Wexham Road', 'Slough SL2 5JU', 'United Kingdom']",0.0
13 Arbour Park,Taj Tandoori Restaurant,-0.58962592,51.519485,"['7 Berkshire House Upton Lea Parade Wexham Road', 'Slough SL2 5JU', 'United Kingdom']",0.0
13 Arbour Park,Broadway Tandoori Restaurant,-0.58962592,51.519485,"['19 Stoke Road', 'Slough SL2 5AH', 'United Kingdom']",0.0
13 Arbour Park,Walford Fish Bar,-0.58962592,51.519485,"['14 Mirador Crescent', 'Slough SL2 5JX', 'United Kingdom']",0.0
13 Arbour Park,New Loon Sing Take Away,-0.58962592,51.519485,"['25 Stoke Road', 'Slough SL2 5AH', 'United Kingdom']",0.0
13 Arbour Park,Southern Fried & Pizza,-0.58962592,51.519485,"['1a Baylis Parade', 'Slough SL1 3LF', 'United Kingdom']",0.0
13 Arbour Park,New Loon Moon,-0.58962592,51.519485,"['1 Baylis Parade', 'Slough SL1 3LF', 'United Kingdom']",0.0
13 Arbour Park,Curry & Kebabs,-0.58962592,51.519485,"['Baylis Parade', 'Slough SL1 3LF', 'United Kingdom']",0.0
13 Arbour Park,Gaudios,-0.58962592,51.519485,"['31-33 Stoke Road', 'Slough SL2 5AH', 'United Kingdom']",0.0
13 Arbour Park,Lakasbah Halal Meats,-0.58962592,51.519485,"['27 Stoke Road', 'Slough SL2 5AH', 'United Kingdom']",0.0
13 Arbour Park,Sky Fries,-0.58962592,51.519485,"['38 Stoke Poges Lane', 'Slough SL1 3PG', 'United Kingdom']",0.0
13 Arbour Park,Lucky House,-0.58962592,51.519485,"['17 Baylis Parade', 'Slough SL1 3LF', 'United Kingdom']",0.0
14 Wexham Road,Harris + Hoole,-0.57820873,51.518459,"['Tesco Extra', 'Wellington Street', 'Slough SL1 1XW', 'United Kingdom']",4.0
14 Wexham Road,Roxy Chicken,-0.57820873,51.518459,"['Upton Lea Parade', 'Wexham Road', 'Slough SL2 5JU', 'United Kingdom']",0.0
14 Wexham Road,J Bansal Fish & Chips Shop,-0.57820873,51.518459,"['16 Mirador Crescent', 'Slough SL2 5JX', 'United Kingdom']",0.0
14 Wexham Road,Taj Tandoori Restaurant,-0.57820873,51.518459,"['7 Berkshire House Upton Lea Parade Wexham Road', 'Slough SL2 5JU', 'United Kingdom']",0.0
14 Wexham Road,Walford Fish Bar,-0.57820873,51.518459,"['14 Mirador Crescent', 'Slough SL2 5JX', 'United Kingdom']",0.0
14 Wexham Road,Milkshake World,-0.57820873,51.518459,"['Tesco Extra Brunel Way', 'Wellington Street', 'Slough SL1 1XW', 'United Kingdom']",0.0
14 Wexham Road,Royal Capital,-0.57820873,51.518459,"['104 Knolton Way', 'Slough SL2 5TL', 'United Kingdom']",0.0
15 The Curve,Mori Japanese Restaurant,-0.59497885,51.510246,"['70 High Street', 'Slough SL1 1EL', 'United Kingdom']",4.0
15 The Curve,Steakout,-0.59497885,51.510246,"['295-297 High Street', 'Slough SL1 1BD', 'United Kingdom']",4.0
15 The Curve,The Chip Box,-0.59497885,51.510246,"['39 Stoke Road', 'Slough SL2 5AH', 'United Kingdom']",4.5
15 The Curve,Caribbean Experience,-0.59497885,51.510246,"['41 Stoke Road', 'Slough SL2 5AH', 'United Kingdom']",4.5
15 The Curve,Harris + Hoole,-0.59497885,51.510246,"['Tesco Extra', 'Wellington Street', 'Slough SL1 1XW', 'United Kingdom']",4.0
15 The Curve,Spice 21,-0.59497885,51.510246,"['2 Alpha Street North', 'Slough SL1 1RB', 'United Kingdom']",4.0
15 The Curve,Nando's,-0.59497885,51.510246,"['258 High st', 'Slough SL1 1JU', 'United Kingdom']",3.0
15 The Curve,Shahzad Restaurant,-0.59497885,51.510246,"['12 Park Street', 'Slough SL1 1PD', 'United Kingdom']",3.5
15 The Curve,Al Fanouse,-0.59497885,51.510246,"['289 High St', 'Slough SL1 1BD', 'United Kingdom']",4.0
15 The Curve,Pizza Express Restaurants,-0.59497885,51.510246,"['80 High Street', 'Slough SL1 1EL', 'United Kingdom']",4.0
15 The Curve,Potato stand,-0.59497885,51.510246,"['High Street', 'Slough SL1 1YU', 'United Kingdom']",4.0
15 The Curve,Prestige,-0.59497885,51.510246,"['117 High Street', 'Slough SL1 1DH', 'United Kingdom']",3.5
15 The Curve,Milano Pizza,-0.59497885,51.510246,"['16 High Street', 'Slough SL1 1EQ', 'United Kingdom']",3.0
